TestCase Name,TestCase Description,TestCase Result,Note,Status
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - DIN EN,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - DIN EN,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - SIA,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - SIA,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - OENorm,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - OENorm,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - NF,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - NF,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - BS EN,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - BS EN,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - BS 8666,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - BS 8666,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - EC2,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - EC2,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - EHE,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - EHE,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - AS/NZS,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - AS/NZS,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - NENorm,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - NENorm,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - DIN 1045-1,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - DIN 1045-1,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - SNiP,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - SNiP,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - SNiP 2003,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - SNiP 2003,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - 09G901-2,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - 09G901-2,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - STAS 10107/0-90,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - STAS 10107/0-90,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - Korea,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - Korea,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - ACI,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - ACI,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - Brazil,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - Brazil,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - TS 500,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - TS 500,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - EN,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - EN,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - NEN EN,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - NEN EN,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - RISC,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - RISC,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - NTC,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - NTC,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - IS,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - IS,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - PN EN,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - PN EN,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - NF EN,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - NF EN,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - SANS 282,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - SANS 282,As expected,Main feature,Pass
Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - DRT-BC2.41-CBA93,Compare the hook length of stirrup from pythonpart and actual normbased from Allplan - DRT-BC2.41-CBA93,As expected,Main feature,Pass
