TestCase Name,TestCase Description,TestCase Result,Note,Status
Checking the preview of polygons for cubes from SDS2  - Isolated Column - Plate with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Isolated Column - Bolt with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Isolated Column - Stiffener with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Isolated Column - Weld with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Beam to column - Plate with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Beam to column - Bolt with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Beam to column - Stiffener with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Beam to column - Weld with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to column - Plate with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to column - Bolt with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to column - Stiffener with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to column - Weld with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
"Checking the preview of polygons for cubes from SDS2  - Splice connection (beam, column) - Plate with attributes visible in the edit attributes screen",Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
"Checking the preview of polygons for cubes from SDS2  - Splice connection (beam, column) - Bolt with attributes visible in the edit attributes screen",Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
"Checking the preview of polygons for cubes from SDS2  - Splice connection (beam, column) - Stiffener with attributes visible in the edit attributes screen",Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
"Checking the preview of polygons for cubes from SDS2  - Splice connection (beam, column) - Weld with attributes visible in the edit attributes screen",Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Beam to Beam - Plate with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Beam to Beam - Bolt with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Beam to Beam - Stiffener with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Beam to Beam - Weld with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to beam - Plate with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to beam - Bolt with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to beam - Stiffener with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to beam - Weld with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to 2 beam and 1 column - Plate with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to 2 beam and 1 column - Bolt with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to 2 beam and 1 column - Stiffener with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
Checking the preview of polygons for cubes from SDS2  - Bracing to 2 beam and 1 column - Weld with attributes visible in the edit attributes screen,Able to display the preview of polygons at cubes without crash or exception,As expected,Main feature,Pass
