TestCase Name,TestCase Description,TestCase Result,Note,Status
"Wall Reinforcement - without wall above - Normbased setting - Reduce diameter of rebar smaller than min. dia value, create reinforcement - Creation and edit mode",The rebar generated with correct diameter in palette,As expected,Main feature,Pass
"Wall Reinforcement - without wall above - Normbased setting - Change diameter of main rebar, update preview and create reinforcement - Creation and edit mode",The stater length of main rebar is updated correctly according to diameter change,As expected,Main feature,Pass
"Wall Reinforcement - without wall above - Normbased setting - Open app, checking the default value of hook length - Creation and edit mode",The hook length of stirrup always use normbase at default or after click reset,As expected,Main feature,Pass
"Wall Reinforcement - without wall above - Normbased setting - Click reset, checking the value of hook length - Creation and edit mode",The hook length of stirrup always use normbase at default or after click reset,As expected,Main feature,Pass
"Wall Reinforcement - without wall above - Normbased setting - Update rebar settings (min dia, dia, bending pin), check the update of hook length - Creation and edit mode",The hooklength will be adapted according to the diameter change,As expected,Main feature,Pass
"Wall Reinforcement - with wall above - Normbased setting - Reduce diameter of rebar smaller than min. dia value, create reinforcement - Creation and edit mode",The rebar generated with correct diameter in palette,As expected,Main feature,Pass
"Wall Reinforcement - with wall above - Normbased setting - Change diameter of main rebar, update preview and create reinforcement - Creation and edit mode",The stater length of main rebar is updated correctly according to diameter change,As expected,Main feature,Pass
"Wall Reinforcement - with wall above - Normbased setting - Open app, checking the default value of hook length - Creation and edit mode",The hook length of stirrup always use normbase at default or after click reset,As expected,Main feature,Pass
"Wall Reinforcement - with wall above - Normbased setting - Click reset, checking the value of hook length - Creation and edit mode",The hook length of stirrup always use normbase at default or after click reset,As expected,Main feature,Pass
"Wall Reinforcement - with wall above - Normbased setting - Update rebar settings (min dia, dia, bending pin), check the update of hook length - Creation and edit mode",The hooklength will be adapted according to the diameter change,As expected,Main feature,Pass
